source,source_tag,sha256,identical_to,note
figure1_layer_sweeps (3).pdf,figures,bb7486dda639de069dbde38dbade1cb11bd9ffe41407470debae266892e97488,paper-src/final/figure1_layer_sweeps.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
AASE Conolidated Data/figure1_layer_sweeps.pdf,figures,bb7486dda639de069dbde38dbade1cb11bd9ffe41407470debae266892e97488,paper-src/final/figure1_layer_sweeps.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
AASE Conolidated Data/figure3_latency.pdf,figures,dfa8bf3e470813783de4403f10efabcbfc8ea31c3be910cfaa833eb8c532af15,paper-src/final/figure3_latency.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
AASE Conolidated Data/figure4_roc_curves.pdf,figures,7442cd67e256dcf0ec5269f389cdd343481508dd4d4589e319246ff49c0eb618,aase_vllm/roc_curves_vllm.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
files (32)/figure3_latency.pdf,figures,dfa8bf3e470813783de4403f10efabcbfc8ea31c3be910cfaa833eb8c532af15,paper-src/final/figure3_latency.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
files (32)/figure4_roc_curves.pdf,figures,7442cd67e256dcf0ec5269f389cdd343481508dd4d4589e319246ff49c0eb618,aase_vllm/roc_curves_vllm.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
files (32)/figure1_layer_sweeps.pdf,figures,bb7486dda639de069dbde38dbade1cb11bd9ffe41407470debae266892e97488,paper-src/final/figure1_layer_sweeps.pdf,"figure variant, date-stamped; identical copies elsewhere skipped"
ahd_package/ahd_confidence_wrapper.py,ahd_package,e03c973961a3960ec365977266461a767264b54770abeeac41d071d451116e3e,scripts/ahd/ahd_confidence_wrapper.py,AHD paper code bundle
paper/aag_layer_sweep_methodology.py,paper,6197f21fc63d909459d9e3280d8d53e207e075fc97fe9b27fb3db4db940dc797,scripts/ahd/layer_sweep_methodology.py,paper-ready experiment scripts and sweep results (2026-01-01)
AASE Conolidated Data/aase_unified_context_prompt.md,consolidated-data,6a2b59b83e5d5756c74a2e44fff7421a1e83deea2c47ef72111656354974a220,experiments/consolidated-data/aase_unified_context_prompt (1).md,context prompt
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/apc/apc_layer_sweep.py,consolidated-data,683e7572e725dc16d13fd21157ecf694e4a345afdf3ad6a70d4d57ea3ea588be,experiments/paper-scripts/round_2/apc_layer_sweep.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/apc/apc_poc_v3.py,consolidated-data,1aec062cb6faca71fde701bed3bcfd8b977506c6bdb2d55df9636e4b1c7f6f5a,runtime/apc/apc_poc_v3.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/injecagent_benchmark_hf.py,consolidated-data,5109ec0ee4fe62a9c9c6ba70238652e188fb0f9e10579ff2a6cda1719e7e8c38,runtime/aag/injecagent_benchmark.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/03_aag_plugin_prototype.py,consolidated-data,27ef83c1f2a90897bd617eef83ef762bb40649673237b7f153e4c3e4770755d3,experiments/consolidated-data/aase_unified/aag/03_aag_plugin_prototype.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/04_full_aag_vllm_test.py,consolidated-data,4423ba20499db05a32cc6dee2e48df62c579283430c5a64626141601aef8c9c3,experiments/consolidated-data/aase_unified/aag/04_full_aag_vllm_test.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/09_test_hook_bf16_fix.py,consolidated-data,605b49a5ec054df83393b60a66a66eff5ae421efb400727b18df33a49227e77c,experiments/consolidated-data/aase_unified/aag/09_test_hook_bf16_fix.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/13_injecagent_benchmark.py,consolidated-data,fff4bb5b99a89525ba4e3d3051864485bcba89b3c8a1a4b50e50b037663f1f5e,experiments/consolidated-data/aase_unified/aag/13_injecagent_benchmark.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/16_balanced_validation.py,consolidated-data,c18999dc1875c2efc9bc4c09928e6b936cd1c44d4e30ea2c9db98e3c793f6cf0,experiments/consolidated-data/aase_unified/aag/16_balanced_validation.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/README.md,consolidated-data,aa1fb94d1cf28733658b7c2ceeb1e58b341e18051f98fa57304e42ef8aeb1399,experiments/consolidated-data/aase_unified/aag/README.md,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/aag_direction_vector_placeholder.npy,consolidated-data,ca64e2e8362a34ab35d296eebc9d8729df11d14303ff7d04655d5a94723939d6,experiments/consolidated-data/aase_unified/aag/aag_direction_vector_placeholder.npy,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/aag_training_data.json,consolidated-data,1b07c70f1e9adfbcacec6478cd7d52269d65961bfc9d3cce4591f60cb4f92d5c,experiments/consolidated-data/aase_unified/aag/aag_training_data.json,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/aag/aag_consolidated!/aag_consolidated/injecagent_benchmark_hf.py,consolidated-data,5109ec0ee4fe62a9c9c6ba70238652e188fb0f9e10579ff2a6cda1719e7e8c38,runtime/aag/injecagent_benchmark.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/af/af_layer_sweep.py,consolidated-data,fc5e7d9f92150d1ef93a0fd32335622be975587a7485936912ff20116c4c89da,experiments/paper-scripts/round_2/af_layer_sweep.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/af/af_layer_sweep_llama.py,consolidated-data,d237f70625d42c030dee69e894815bc66bfdc8288427784c24c4b4f2f0de17ab,experiments/paper-scripts/llama/af_layer_sweep_llama.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_aase_unified_package/aase_unified/af/af_quantization_test.py,consolidated-data,f3facb86cc296c1392a235915a472d5ccbb76e2bfeccd75d5f5aa872d658cec9,experiments/paper-scripts/quantization/af_quantization_test.py,extracted from aase_unified_package.zip
[zip]AASE_Conolidated_Data_AAG_PoC/03_aag_plugin_prototype.py,consolidated-data,27ef83c1f2a90897bd617eef83ef762bb40649673237b7f153e4c3e4770755d3,experiments/consolidated-data/aase_unified/aag/03_aag_plugin_prototype.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/04_full_aag_vllm_test.py,consolidated-data,4423ba20499db05a32cc6dee2e48df62c579283430c5a64626141601aef8c9c3,experiments/consolidated-data/aase_unified/aag/04_full_aag_vllm_test.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/09_test_hook_bf16_fix.py,consolidated-data,605b49a5ec054df83393b60a66a66eff5ae421efb400727b18df33a49227e77c,experiments/consolidated-data/aase_unified/aag/09_test_hook_bf16_fix.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/13_injecagent_benchmark.py,consolidated-data,fff4bb5b99a89525ba4e3d3051864485bcba89b3c8a1a4b50e50b037663f1f5e,experiments/consolidated-data/aase_unified/aag/13_injecagent_benchmark.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/16_balanced_validation.py,consolidated-data,c18999dc1875c2efc9bc4c09928e6b936cd1c44d4e30ea2c9db98e3c793f6cf0,experiments/consolidated-data/aase_unified/aag/16_balanced_validation.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/README.md,consolidated-data,aa1fb94d1cf28733658b7c2ceeb1e58b341e18051f98fa57304e42ef8aeb1399,experiments/consolidated-data/aase_unified/aag/README.md,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_direction_vector_placeholder.npy,consolidated-data,ca64e2e8362a34ab35d296eebc9d8729df11d14303ff7d04655d5a94723939d6,experiments/consolidated-data/aase_unified/aag/aag_direction_vector_placeholder.npy,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_training_data.json,consolidated-data,1b07c70f1e9adfbcacec6478cd7d52269d65961bfc9d3cce4591f60cb4f92d5c,experiments/consolidated-data/aase_unified/aag/aag_training_data.json,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/injecagent_benchmark_hf.py,consolidated-data,5109ec0ee4fe62a9c9c6ba70238652e188fb0f9e10579ff2a6cda1719e7e8c38,runtime/aag/injecagent_benchmark.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/03_aag_plugin_prototype.py,consolidated-data,27ef83c1f2a90897bd617eef83ef762bb40649673237b7f153e4c3e4770755d3,experiments/consolidated-data/aase_unified/aag/03_aag_plugin_prototype.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/04_full_aag_vllm_test.py,consolidated-data,4423ba20499db05a32cc6dee2e48df62c579283430c5a64626141601aef8c9c3,experiments/consolidated-data/aase_unified/aag/04_full_aag_vllm_test.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/09_test_hook_bf16_fix.py,consolidated-data,605b49a5ec054df83393b60a66a66eff5ae421efb400727b18df33a49227e77c,experiments/consolidated-data/aase_unified/aag/09_test_hook_bf16_fix.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/13_injecagent_benchmark.py,consolidated-data,fff4bb5b99a89525ba4e3d3051864485bcba89b3c8a1a4b50e50b037663f1f5e,experiments/consolidated-data/aase_unified/aag/13_injecagent_benchmark.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/16_balanced_validation.py,consolidated-data,c18999dc1875c2efc9bc4c09928e6b936cd1c44d4e30ea2c9db98e3c793f6cf0,experiments/consolidated-data/aase_unified/aag/16_balanced_validation.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/README.md,consolidated-data,aa1fb94d1cf28733658b7c2ceeb1e58b341e18051f98fa57304e42ef8aeb1399,experiments/consolidated-data/aase_unified/aag/README.md,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/aag_direction_vector_placeholder.npy,consolidated-data,ca64e2e8362a34ab35d296eebc9d8729df11d14303ff7d04655d5a94723939d6,experiments/consolidated-data/aase_unified/aag/aag_direction_vector_placeholder.npy,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/aag_training_data.json,consolidated-data,1b07c70f1e9adfbcacec6478cd7d52269d65961bfc9d3cce4591f60cb4f92d5c,experiments/consolidated-data/aase_unified/aag/aag_training_data.json,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AAG_PoC/aag_consolidated!/aag_consolidated/injecagent_benchmark_hf.py,consolidated-data,5109ec0ee4fe62a9c9c6ba70238652e188fb0f9e10579ff2a6cda1719e7e8c38,runtime/aag/injecagent_benchmark.py,extracted from AAG_PoC.zip
[zip]AASE_Conolidated_Data_AF_PoC/af_layer_sweep.py,consolidated-data,fc5e7d9f92150d1ef93a0fd32335622be975587a7485936912ff20116c4c89da,experiments/paper-scripts/round_2/af_layer_sweep.py,extracted from AF_PoC.zip
[zip]AASE_Conolidated_Data_AF_PoC/af_layer_sweep_llama.py,consolidated-data,d237f70625d42c030dee69e894815bc66bfdc8288427784c24c4b4f2f0de17ab,experiments/paper-scripts/llama/af_layer_sweep_llama.py,extracted from AF_PoC.zip
[zip]AASE_Conolidated_Data_AF_PoC/af_quantization_test.py,consolidated-data,f3facb86cc296c1392a235915a472d5ccbb76e2bfeccd75d5f5aa872d658cec9,experiments/paper-scripts/quantization/af_quantization_test.py,extracted from AF_PoC.zip
[zip]AASE_Conolidated_Data_AF_PoC/af_vllm_native.py,consolidated-data,5f7879f991c705f75e7a82b0ca07ad5acd0eb003453b60a56ffca84d45a785df,experiments/consolidated-data/aase_unified/af/af_vllm_native.py,extracted from AF_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/APC_README.md,consolidated-data,b2493879577c479568cf0c3bcaf7cc95fbc40f257ed49090e4e727524620cb83,experiments/consolidated-data/aase_unified/apc/APC_README.md,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_layer_sweep.py,consolidated-data,683e7572e725dc16d13fd21157ecf694e4a345afdf3ad6a70d4d57ea3ea588be,experiments/paper-scripts/round_2/apc_layer_sweep.py,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_layer_sweep_llama.py,consolidated-data,b9c3b04f785adab9ea79ae64eba6e6b7978cafa9ab1c6c03435371255ee25913,experiments/consolidated-data/aase_unified/apc/apc_layer_sweep_llama.py,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_layer_sweep_llama_results.csv,consolidated-data,dc52794eef8d19f51af54498a3f39cc523a81b11125ac81bf0f3dc4196ae3185,experiments/consolidated-data/aase_unified/apc/apc_layer_sweep_llama_results.csv,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_layer_sweep_results.csv,consolidated-data,c2ac53180b9be3c4622d5566f6d45e3df5737efe8a7e15e161dd7fce25cbd6f1,experiments/consolidated-data/aase_unified/apc/apc_layer_sweep_results.csv,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_poc_v3.py,consolidated-data,1aec062cb6faca71fde701bed3bcfd8b977506c6bdb2d55df9636e4b1c7f6f5a,runtime/apc/apc_poc_v3.py,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_quantization_results.json,consolidated-data,3624fa89bcd801a600e01566e389f20dbd750d038514dba87dd449f9b9256700,experiments/consolidated-data/aase_unified/apc/apc_quantization_results.json,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_quantization_test.py,consolidated-data,de856a7b69ee57d247f8a8a5ac51cbd9d82c6c5f0ae8f066da2b24aaa84668e1,experiments/consolidated-data/aase_unified/apc/apc_quantization_test.py,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/apc_vllm_validation.py,consolidated-data,7a866836fdfa2b670e5883b58abad2ee0932b49b021263702e16a957abf2c81f,experiments/consolidated-data/aase_unified/apc/apc_vllm_validation.py,extracted from APC_PoC.zip
[zip]AASE_Conolidated_Data_APC_PoC/enterprise_policies_v3.json,consolidated-data,e48e70bfcec60f209d307e16c257af74b8cbc7a2cc3b56b41642703428acbb52,experiments/consolidated-data/aase_unified/apc/enterprise_policies_v3.json,extracted from APC_PoC.zip
files (13)/03_aag_plugin_prototype.py,files13,27ef83c1f2a90897bd617eef83ef762bb40649673237b7f153e4c3e4770755d3,experiments/consolidated-data/aase_unified/aag/03_aag_plugin_prototype.py,vLLM hook feasibility scripts 01–04
files (13)/04_full_aag_vllm_test.py,files13,4423ba20499db05a32cc6dee2e48df62c579283430c5a64626141601aef8c9c3,experiments/consolidated-data/aase_unified/aag/04_full_aag_vllm_test.py,vLLM hook feasibility scripts 01–04
AASE packaging/af_vllm_native.py,aase-packaging,5f7879f991c705f75e7a82b0ca07ad5acd0eb003453b60a56ffca84d45a785df,experiments/consolidated-data/aase_unified/af/af_vllm_native.py,packaging-era script / upload staging
AASE packaging/apc_vllm_validation.py,aase-packaging,314a33eed3f8815ec94eb9b044afd83b60c6db5896df897d29f7e5fd8a500d61,scripts/apc/apc_vllm_validation.py,packaging-era script / upload staging
AASE packaging/upload/aase/README.md,aase-packaging,fbe604c92cf02fd234d54f06380fd8fcab2480a82a5e6d46b75ebf8b8777ed25,package/aase/README.md,packaging-era script / upload staging
AASE packaging/upload/aase/__init__.py,aase-packaging,2d144cce6d18311e220d34b42aa8f2b823021a16b736c9dd705cfc6b1165d5d9,package/aase/__init__.py,packaging-era script / upload staging
AASE packaging/upload/aase/aag.py,aase-packaging,f996d50327eb153a6cc9454c15a9620f8ca4029b20564f3f407cba79219be50f,package/aase/probes/aag.py,packaging-era script / upload staging
AASE packaging/upload/aase/af.py,aase-packaging,ed8a88e0840ec464b70f25ed43ee6e9add4af7314102e0a1ad75dd1411c55709,package/aase/probes/af.py,packaging-era script / upload staging
AASE packaging/upload/aase/apc.py,aase-packaging,b8d85e8a565d9a4267f0378788625931e939be1d78db0c272265e0a55780ac80,package/aase/probes/apc.py,packaging-era script / upload staging
AASE packaging/upload/aase/extraction.py,aase-packaging,922236292c023f32dad3664fbfbb077fb93ea072e8b4faee543a08a0204344b8,aase_vllm/core/extraction.py,packaging-era script / upload staging
AASE packaging/upload/aase/probe.py,aase-packaging,e3cbff03cbebf14f04717bc2eb3ea0a0126af5d3eeda16fa7be56df6f3ce23e0,aase_vllm/core/probe.py,packaging-era script / upload staging
AASE packaging/upload/aase/stack.py,aase-packaging,406f194ca4dc38c0dd218a8f6859a4d85fbc18bfb45828442ed19e63af0253b9,package/aase/stack.py,packaging-era script / upload staging
AASE packaging/upload/aase/test_aase_llmd.py,aase-packaging,cfa25123ddba7b4878010a9f26256b499cf9a94c8b6923c134ebee0c16a452d8,package/aase/tests/test_aase_llmd.py,packaging-era script / upload staging
AASE packaging/upload/aase/test_aase_vllm.py,aase-packaging,c2c7f1460a5565d53bf574a7975be2c242fe7abaec949569255436d154ff7a33,package/aase/tests/test_aase_vllm.py,packaging-era script / upload staging
[zip]AASE_packaging_upload_aase/README.md,aase-packaging,fbe604c92cf02fd234d54f06380fd8fcab2480a82a5e6d46b75ebf8b8777ed25,package/aase/README.md,extracted zip member
[zip]AASE_packaging_upload_aase/__init__.py,aase-packaging,2d144cce6d18311e220d34b42aa8f2b823021a16b736c9dd705cfc6b1165d5d9,package/aase/__init__.py,extracted zip member
[zip]AASE_packaging_upload_aase/aag.py,aase-packaging,f996d50327eb153a6cc9454c15a9620f8ca4029b20564f3f407cba79219be50f,package/aase/probes/aag.py,extracted zip member
[zip]AASE_packaging_upload_aase/af.py,aase-packaging,ed8a88e0840ec464b70f25ed43ee6e9add4af7314102e0a1ad75dd1411c55709,package/aase/probes/af.py,extracted zip member
[zip]AASE_packaging_upload_aase/apc.py,aase-packaging,b8d85e8a565d9a4267f0378788625931e939be1d78db0c272265e0a55780ac80,package/aase/probes/apc.py,extracted zip member
[zip]AASE_packaging_upload_aase/extraction.py,aase-packaging,922236292c023f32dad3664fbfbb077fb93ea072e8b4faee543a08a0204344b8,aase_vllm/core/extraction.py,extracted zip member
[zip]AASE_packaging_upload_aase/llmd.py,aase-packaging,98f04e13d602d52ca23792136693ccbe9dc14131f63943251525c7afbed0715a,packaging/upload/aase/llmd.py,extracted zip member
[zip]AASE_packaging_upload_aase/probe.py,aase-packaging,e3cbff03cbebf14f04717bc2eb3ea0a0126af5d3eeda16fa7be56df6f3ce23e0,aase_vllm/core/probe.py,extracted zip member
[zip]AASE_packaging_upload_aase/stack.py,aase-packaging,406f194ca4dc38c0dd218a8f6859a4d85fbc18bfb45828442ed19e63af0253b9,package/aase/stack.py,extracted zip member
[zip]AASE_packaging_upload_aase/test_aase_llmd.py,aase-packaging,cfa25123ddba7b4878010a9f26256b499cf9a94c8b6923c134ebee0c16a452d8,package/aase/tests/test_aase_llmd.py,extracted zip member
[zip]AASE_packaging_upload_aase/test_aase_vllm.py,aase-packaging,c2c7f1460a5565d53bf574a7975be2c242fe7abaec949569255436d154ff7a33,package/aase/tests/test_aase_vllm.py,extracted zip member
[zip]AASE_packaging_upload_aase/vllm.py,aase-packaging,2e1ce87600eba159fb48270b279e5fe079545cce8b3e1fba1cbbf8f57f7b8c37,packaging/upload/aase/vllm.py,extracted zip member
[zip]AASE_packaging_upload_aase_calibrate/calibrate_model.py,aase-packaging,968136d338f38fcd81a6dee3f4cfbff237186b85a3f9c7ae0b095905352c53df,package/aase/scripts/calibrate_model.py,extracted zip member
[zip]AASE_packaging_upload_aase_calibrate/test_llmd_local.py,aase-packaging,86f4e7802bb58e3437408c765540e055b1c6adff373eef1d72e760280238a90b,package/aase/scripts/test_llmd_local.py,extracted zip member
[zip]AASE_packaging_upload_scripts/aase_llmd_entrypoint.py,aase-packaging,b741c63fdd61e16db09cc7213376220a0f0cb72067c8c3ac97ad2a58ba58effb,package/aase/integrations/aase_llmd_entrypoint.py,extracted zip member
[zip]AASE_packaging_upload_scripts/generate_pretrained.py,aase-packaging,6e9feac08943915236f9df07a418b9acb474e4f6f3ae940a50c1dd32e6f01faa,package/aase/scripts/generate_pretrained.py,extracted zip member
[zip]AASE_packaging_upload_scripts/vllm.py,aase-packaging,4cdef2170c9e6866a6bfd9098e447129c7366ecb778e5ea440ed62f15575b52a,package/aase/integrations/vllm.py,extracted zip member
AASE/APC/apc_poc_v3.py,AASE,1aec062cb6faca71fde701bed3bcfd8b977506c6bdb2d55df9636e4b1c7f6f5a,runtime/apc/apc_poc_v3.py,PoC snapshot dir
AASE/AAG/agent_gating_poc_v5.py,AASE,b09d33f4b2d10609f676f75d71eed362b1fc307792b0d780a6a9e2f986a891b0,runtime/aag/agent_gating_poc_v5.py,PoC snapshot dir
AASE/AF/README.md,AASE,b283c237f37595f0e5d961fd71a4c9d0987512e1e56fbc02273b235d1dcd6c9b,runtime/af_distribution/README.md,PoC snapshot dir
AASE/AF/af_evaluate_vectors.py,AASE,cf04686324152c813d437548151d5d3ebc9b22c4778a95415843f2df114e4903,runtime/af_distribution/af_evaluate_vectors.py,PoC snapshot dir
AASE/AF/af_generate_gemma_vectors.py,AASE,57a97186d1c9cae3b96498e2eb91d0d3ec3557317548cdf1a3842980298b2592,runtime/af_distribution/af_generate_gemma_vectors.py,PoC snapshot dir
AASE/AF/af_runtime.py,AASE,c4006d0dd9a5c1ae999995c9d182f618b02ad864e154d4d65c37aec07a41986a,runtime/af_distribution/af_runtime.py,PoC snapshot dir
AASE/AF/af_vector_packager.py,AASE,0d7ce382c23923e970dad9f369612ab1b2a6175aa794a2002b3c16c48e64bb5e,runtime/af_distribution/af_vector_packager.py,PoC snapshot dir
AASE/AF/vectors/gemma-3-1b-it.json,AASE,704158156e7804d7d3b7473f981436b8342fe1f3999d9f5b141cff6c5630ed65,runtime/af_distribution/vectors/gemma-3-1b-it.json,PoC snapshot dir
AASE/AF/vectors/gemma-3-1b-it.safetensors,AASE,477925552153301a37a281425a533dbb25ef43b1d959f15d55d59b51156b1254,runtime/af_distribution/vectors/gemma-3-1b-it.safetensors,PoC snapshot dir
AASE/AF/vectors/gemma-3-270m-it.json,AASE,a0db36b5e517724b8c159ca5268f98d5ef73b3ff7b6e19d301e3c6e43bdb2274,runtime/af_distribution/vectors/gemma-3-270m-it.json,PoC snapshot dir
AASE/AF/vectors/gemma-3-270m-it.safetensors,AASE,e6f5063ad65c42ad92ef4e5c52b36cdbd951e1329476cd94daf449f1f4e879d2,runtime/af_distribution/vectors/gemma-3-270m-it.safetensors,PoC snapshot dir
AASE/AF/policies/af_policy.json,AASE,f8e90dda615ed38e540af58be28e588cd3e60e5e32992bb48105b36271a9d8c7,runtime/af_distribution/policies/af_policy.json,PoC snapshot dir
AF_Executive_Brief.docx,root-docs,900f60e65a63e11d771c076387f9d26cba65fed67b188171e91f1abc37028d1b,docs/product/AF_Executive_Brief_(1).docx,product/positioning doc from Downloads root
AF_Product_Strategy.docx,root-docs,caf77357592e89e07281861ce1b2f7c19118b058ab8d521ea6867a69c2361b8f,docs/product/AF_Product_Strategy_(1).docx,product/positioning doc from Downloads root
AHD_Technical_Summary_Clayton.docx,root-docs,3f73bbcd33dfbc071efbd356fd5f0789b31076fa1e957ff9d3b56bf3102663b5,docs/product/AHD_Technical_Summary_Clayton_(1).docx,product/positioning doc from Downloads root
APC_IDF (2).md,root-docs,d13912174cbbd9a072179a266a8aab6c5594d8d1cf3e287bae87c941d2196c2d,docs/product/APC_IDF_(1).md,product/positioning doc from Downloads root
new prompt/af_benchmark_ailuminate.py,new-prompt,6293522a1fb8810740b0502a967c1ca1ecf38b24833cbc25fead52ec5c9e1163,runtime/af_benchmark_ailuminate.py,context-prompt bundle (2025-12-27)
new prompt/af_benchmark_category.py,new-prompt,4fb99a2255acc7e4ab73a593616f8cb4b6696983711bbe2d8cb7a4d9dfe7a9d8,runtime/af_benchmark_category.py,context-prompt bundle (2025-12-27)
